ï»¿First Name,Last Name,Date of Birth,Email,Identification Number,Password,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance,Credit Max
Fabian,Cano,20-Jun-44,FabianCano@disney.com,42,Password91,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1041,2041,3041,705.78,2351.83,-507.36,5281
Denise,Castro,11-Aug-53,DeniseCastro@disney.com,43,Password92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1042,2042,3042,461.46,3234.26,-1159.62,7831
Karla,Chavez,23-Sep-98,KarlaChavez@disney.com,44,Password93,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1043,2043,3043,302.18,2940.97,-1805.47,7390
Daniel,D,11-May-69,DanielD@disney.com,66,Password115,"504 W. University Ave, El Paso, TX 79968",(915) 747-5004,1065,2065,3065,1956.54,1872.13,-117.61,7778
R2,D2,30-Sep-50,R2D2@disney.com,99,Password148,"537 W. University Ave, El Paso, TX 79968",(915) 747-5037,1098,2098,3098,1840.51,1784.37,-1180.01,9000
Solomon,Davis,28-May-82,SolomonDavis@disney.com,45,Password94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1044,2044,3044,1819.39,519.32,-1555.92,6311
Cruella,De Vil,15-Apr-19,CruellaDe Vil@disney.com,22,Password71,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1021,2021,3021,975.82,3506.75,-1671.2,4178
Goofy,Disney,2-Jun-88,GoofyDisney@disney.com,4,Password53,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1003,2003,3003,962.79,3272.63,-232.52,9950
Pluto,Disney,21-Mar-90,PlutoDisney@disney.com,5,Password54,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1004,2004,3004,156.24,2403.97,-12.41,6824
Chip,Disney,25-Dec-96,ChipDisney@disney.com,6,Password55,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1005,2005,3005,1369.24,4788.93,-1936.34,6766
Dale,Disney,15-Sep-69,DaleDisney@disney.com,7,Password56,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1006,2006,3006,1040.16,4372.72,-707.8,8901
Cinderella,Disney,20-May-92,CinderellaDisney@disney.com,8,Password57,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1007,2007,3007,614.22,1240.63,-928.28,7074
Ariel,Disney,24-Jan-06,ArielDisney@disney.com,9,Password58,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1008,2008,3008,1762.41,588.85,-381.05,9999
Jasmine,Disney,15-Feb-11,JasmineDisney@disney.com,10,Password59,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1009,2009,3009,1716.06,3570.51,-1398.32,3947
Aladdin,Disney,12-Jun-63,AladdinDisney@disney.com,11,Password60,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1010,2010,3010,914.78,4724.4,-1392.51,8790
Simba,Disney,11-Dec-04,SimbaDisney@disney.com,12,Password61,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1011,2011,3011,1591.7,683.04,-1977.06,5145
Mufassa,Disney,12-Jan-06,MufassaDisney@disney.com,13,Password62,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1012,2012,3012,1926.35,1260.63,-426.76,6941
Aurora,Disney,10-Jul-65,AuroraDisney@disney.com,14,Password63,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1013,2013,3013,369.38,3144.46,-175.39,5379
Woody,Disney,21-Jan-32,WoodyDisney@disney.com,16,Password65,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1015,2015,3015,646.15,2823.21,-267.11,5272
Beast,Disney,5-Apr-43,BeastDisney@disney.com,20,Password69,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1019,2019,3019,1828.34,1904.26,-1163.95,5153
Belle,Disney,22-Nov-96,BelleDisney@disney.com,21,Password70,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1020,2020,3020,824.11,47.39,-1108.47,7599
Gaston,Disney,17-Dec-13,GastonDisney@disney.com,25,Password74,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1024,2024,3024,1047.06,4371.97,-891.35,4037
Kaa,Disney,18-Aug-45,KaaDisney@disney.com,28,Password77,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1027,2027,3027,1998.96,375.34,-286.82,6186
Pinocchio,Disney,5-Sep-37,PinocchioDisney@disney.com,30,Password79,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1029,2029,3029,693.53,2557.87,-365.78,9957
Quasimodo,Disney,6-Nov-55,QuasimodoDisney@disney.com,32,Password81,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1031,2031,3031,1429.14,611.79,-212.66,7363
Hercules,Disney,9-Jul-53,HerculesDisney@disney.com,33,Password82,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1032,2032,3032,261,871.85,-542.87,6062
Mulan,Disney,24-Oct-86,MulanDisney@disney.com,34,Password83,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1033,2033,3033,1437.51,4674.15,-1141.98,3434
Lilo,Disney,8-Nov-53,LiloDisney@disney.com,35,Password84,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1034,2034,3034,238.26,1596.4,-121.91,4558
Stitch,Disney,30-Oct-06,StitchDisney@disney.com,36,Password85,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1035,2035,3035,832.75,4364.56,-735.47,8092
Pete,Disney,1-Mar-46,PeteDisney@disney.com,91,Password140,"529 W. University Ave, El Paso, TX 79968",(915) 747-5029,1090,2090,3090,505.91,4771.34,-2000.9,5383
Walt,Disney,29-Oct-77,WaltDisney@disney.com,97,Password146,"535 W. University Ave, El Paso, TX 79968",(915) 747-5035,1096,2096,3096,340.36,2524.42,-1161.64,9156
Roy,Disney,17-May-38,RoyDisney@disney.com,98,Password147,"536 W. University Ave, El Paso, TX 79968",(915) 747-5036,1097,2097,3097,1939.72,2600.15,-144.24,4394
Hugo,Dominguez,24-Dec-40,HugoDominguez@disney.com,46,Password95,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1045,2045,3045,738.46,1538.66,-873.4,8768
Donald,Duck,19-Jun-52,DonaldDuck@disney.com,2,Password51,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1001,2001,3001,361.1,1340.1,-643.52,3764
Daniel,E,28-Jul-83,DanielE@disney.com,67,Password116,"505 W. University Ave, El Paso, TX 79968",(915) 747-5005,1066,2066,3066,1217.32,3084.32,-1829.52,9095
Dumbo,Elephant,11-Jul-97,DumboElephant@disney.com,96,Password145,"534 W. University Ave, El Paso, TX 79968",(915) 747-5034,1095,2095,3095,1378.12,683.45,-1235.48,8406
Prince,Eric,26-Jan-07,PrinceEric@disney.com,31,Password80,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1030,2030,3030,1054.17,3236.04,-867.74,7263
Daniel,F,8-Jun-63,DanielF@disney.com,68,Password117,"506 W. University Ave, El Paso, TX 79968",(915) 747-5006,1067,2067,3067,1556.48,3814.64,-907.34,5657
Seth,Flores,7-Nov-76,SethFlores@disney.com,47,Password96,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1046,2046,3046,483.2,1109.16,-1145.95,9573
Daniel,G,3-Jan-80,DanielG@disney.com,69,Password118,"507 W. University Ave, El Paso, TX 79968",(915) 747-5007,1068,2068,3068,236.32,1451.79,-1426.89,3826
Daniel,H,14-Dec-96,DanielH@disney.com,70,Password119,"508 W. University Ave, El Paso, TX 79968",(915) 747-5008,1069,2069,3069,840.05,1014.45,-1984.4,4646
Anthony,Herrera,4-Dec-93,AnthonyHerrera@disney.com,48,Password97,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1047,2047,3047,852.59,2082.11,-1500.11,5856
Captain,Hook,6-Jan-44,CaptainHook@disney.com,27,Password76,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1026,2026,3026,1633.77,1170.74,-1242.81,4558
Daniel,I,21-Oct-90,DanielI@disney.com,71,Password120,"509 W. University Ave, El Paso, TX 79968",(915) 747-5009,1070,2070,3070,256.35,718.11,-1151.15,9329
Juan,Isasi,26-Aug-13,JuanIsasi@disney.com,49,Password98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1048,2048,3048,175.36,4171.21,-1021.39,6544
Daniel,J,23-Aug-63,DanielJ@disney.com,72,Password121,"510 W. University Ave, El Paso, TX 79968",(915) 747-5010,1071,2071,3071,1586.54,505.41,-149.84,9008
Yoda,Jedi,18-Apr-94,YodaJedi@disney.com,103,Password152,"541 W. University Ave, El Paso, TX 79968",(915) 747-5041,1102,2102,3102,54.67,851.61,-1398.05,3618
Daniel,K,26-Mar-05,DanielK@disney.com,73,Password122,"511 W. University Ave, El Paso, TX 79968",(915) 747-5011,1072,2072,3072,1395.87,1344.08,-1064.37,9612
Obi,Kenobi,6-Dec-92,ObiKenobi@disney.com,102,Password151,"540 W. University Ave, El Paso, TX 79968",(915) 747-5040,1101,2101,3101,646.6,1181.04,-662.53,5219
Shere,Khan,25-Nov-48,ShereKhan@disney.com,26,Password75,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1025,2025,3025,1954.23,2271.46,-1945.44,4358
Simba,King,3-Nov-74,SimbaKing@disney.com,24,Password73,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1023,2023,3023,283.01,4563.47,-2000.57,9373
Daniel,L,17-Dec-56,DanielL@disney.com,74,Password123,"512 W. University Ave, El Paso, TX 79968",(915) 747-5012,1073,2073,3073,1567.82,1646.27,-1056.41,6025
Buzz,Lightyear,12-Feb-15,BuzzLightyear@disney.com,17,Password66,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1016,2016,3016,1261.22,998.8,-502.43,6136
Scar,Lion,6-Feb-88,ScarLion@disney.com,23,Password72,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1022,2022,3022,1746.93,2924.99,-419.7,6440
Valeria,Macias,23-Aug-80,ValeriaMacias@disney.com,50,Password99,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1049,2049,3049,1799.33,794.45,-1280.08,9126
Iron,Man,20-May-45,IronMan@disney.com,90,Password139,"528 W. University Ave, El Paso, TX 79968",(915) 747-5028,1089,2089,3089,1825.05,3004.66,-1075.42,4380
Ana,Mata Sanchez,29-Sep-45,AnaMata Sanchez@disney.com,51,Password100,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1050,2050,3050,730.52,1445.42,-1399.14,7445
Daniel,Mejia,23-Jul-89,DanielMejia@disney.com,62,Password111,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1061,2061,3061,832.02,4746.99,-19.56,3824
Ursela,Mermaid,9-Sep-06,UrselaMermaid@disney.com,19,Password68,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1018,2018,3018,438.85,212.18,-348.54,9424
Bryan,Molina,4-Dec-84,BryanMolina@disney.com,52,Password101,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1051,2051,3051,1286.64,2293.47,-341.37,3375
Mickey,Mouse,15-Jul-36,MickeyMouse@disney.com,1,Password50,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1000,2000,3000,70.61,1727.13,-124.06,7745
Minnie,Mouse,31-Dec-70,MinnieMouse@disney.com,3,Password52,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1002,2002,3002,567.68,1345.5,-1725.48,3850
Daniel,N,1-Dec-51,DanielN@disney.com,75,Password124,"513 W. University Ave, El Paso, TX 79968",(915) 747-5013,1074,2074,3074,314.68,3580.15,-470.42,6943
Ericka,Najera,27-Sep-18,ErickaNajera@disney.com,53,Password102,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1052,2052,3052,1545.25,3761.82,-732.19,7205
Daniel,O,7-Jan-89,DanielO@disney.com,76,Password125,"514 W. University Ave, El Paso, TX 79968",(915) 747-5014,1075,2075,3075,616.66,4133.25,-428.47,6090
Daniel,P,21-Feb-12,DanielP@disney.com,77,Password126,"515 W. University Ave, El Paso, TX 79968",(915) 747-5015,1076,2076,3076,810.38,4393.01,-673.87,9864
Cesar,Padron,6-May-82,CesarPadron@disney.com,54,Password103,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1053,2053,3053,1125.84,188.04,-218.33,6612
Peter,Pan,6-Jul-32,PeterPan@disney.com,15,Password64,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1014,2014,3014,1274.17,1640.57,-684.41,6176
Peter,Parker,8-Feb-19,PeterParker@disney.com,89,Password138,"527 W. University Ave, El Paso, TX 79968",(915) 747-5027,1088,2088,3088,866.02,2334.55,-1850.27,4164
Ricardo,Pena,8-Jun-54,RicardoPena@disney.com,55,Password104,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1054,2054,3054,1140.27,1283.37,-829.69,6126
Winnie,Pooh,27-Feb-58,WinniePooh@disney.com,93,Password142,"531 W. University Ave, El Paso, TX 79968",(915) 747-5031,1092,2092,3092,817.15,78.8,-199.02,7278
Tigger,Pooh,26-Dec-07,TiggerPooh@disney.com,94,Password143,"532 W. University Ave, El Paso, TX 79968",(915) 747-5032,1093,2093,3093,646.96,3529.38,-1589.66,8453
Piglet,Pooh,30-Aug-95,PigletPooh@disney.com,95,Password144,"533 W. University Ave, El Paso, TX 79968",(915) 747-5033,1094,2094,3094,1188.84,2669.21,-1507.86,4088
Daniel,Q,26-Mar-18,DanielQ@disney.com,78,Password127,"516 W. University Ave, El Paso, TX 79968",(915) 747-5016,1077,2077,3077,896.23,3103.19,-1825.78,4952
Evil,Queen,15-Jun-02,EvilQueen@disney.com,29,Password78,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1028,2028,3028,1269.81,247.87,-1318.98,9192
Rigoberto,Quiroz,28-Dec-48,RigobertoQuiroz@disney.com,56,Password105,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1055,2055,3055,1031.99,2260.16,-457.97,9081
Daniel,R,11-May-96,DanielR@disney.com,79,Password128,"517 W. University Ave, El Paso, TX 79968",(915) 747-5017,1078,2078,3078,444.85,1523.55,-913.08,4473
Kevin,Ramirez,28-Feb-60,KevinRamirez@disney.com,57,Password106,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1056,2056,3056,1163.6,3083.92,-524.58,5681
Joshua,Ramos,3-Aug-45,JoshuaRamos@disney.com,58,Password107,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1057,2057,3057,1723.32,2183.96,-1908.86,5982
Lewis,Roe,4-Feb-78,LewisRoe@disney.com,59,Password108,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1058,2058,3058,941.62,2344.21,-1160.97,7729
Laila,Romero,26-Jan-30,LailaRomero@disney.com,60,Password109,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1059,2059,3059,1429.92,3097.4,-952.55,9072
Daniel,S,12-Nov-60,DanielS@disney.com,80,Password129,"518 W. University Ave, El Paso, TX 79968",(915) 747-5018,1079,2079,3079,220.34,1819.94,-838.93,9474
Anakin,Skywalker,7-Apr-78,AnakinSkywalker@disney.com,101,Password150,"539 W. University Ave, El Paso, TX 79968",(915) 747-5039,1100,2100,3100,1266.59,3447.18,-211.38,9602
Daniel,T,11-Nov-36,DanielT@disney.com,81,Password130,"519 W. University Ave, El Paso, TX 79968",(915) 747-5019,1080,2080,3080,1825.39,3870.06,-1878.82,4729
Paola,Terrazas,28-Oct-71,PaolaTerrazas@disney.com,61,Password110,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1060,2060,3060,1339.11,1539.24,-1514.97,6982
Daniel,U,23-Aug-07,DanielU@disney.com,82,Password131,"520 W. University Ave, El Paso, TX 79968",(915) 747-5020,1081,2081,3081,739.2,2644.21,-555.6,9011
Daniel,V,13-Feb-65,DanielV@disney.com,83,Password132,"521 W. University Ave, El Paso, TX 79968",(915) 747-5021,1082,2082,3082,1856.93,48.1,-898.45,7715
Daniel,W,11-May-80,DanielW@disney.com,84,Password133,"522 W. University Ave, El Paso, TX 79968",(915) 747-5022,1083,2083,3083,1651.57,1499.47,-1141.87,3664
Daniel,X,10-Feb-66,DanielX@disney.com,85,Password134,"523 W. University Ave, El Paso, TX 79968",(915) 747-5023,1084,2084,3084,862.83,4045.63,-1531.84,4938
Daniel,Y,12-May-94,DanielY@disney.com,86,Password135,"524 W. University Ave, El Paso, TX 79968",(915) 747-5024,1085,2085,3085,1089.88,1037.77,-1780.81,9611
Daniel,Z,5-May-57,DanielZ@disney.com,87,Password136,"525 W. University Ave, El Paso, TX 79968",(915) 747-5025,1086,2086,3086,1794,1742.28,-1047.35,6615
